1.	
	STEP COUNT(S)                 PRICE(S)                 COST(S)                  COST                     COUNT                    EVERAGE COST              |  MINIMAL PRICE            SALE PRICE               SALE COUNT               SALE COST                SALE EARNINGS            
	1    1.0                      66.1                     66.23246492985972        66.23246492985972        1.0                      66.23246492985972         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	2    2.0                      65.6                     131.4629258517034        197.6953907815631        3.0                      65.89846359385437         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	3    4.0                      64.6                     258.9178356713427        456.6132264529058        7.0                      65.23046092184369         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	4    8.0                      63.099999999999994       505.81162324649296       962.4248496993988        15.0                     64.16165664662658         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	5    16.0                     61.099999999999994       979.5591182364728        1941.9839679358715       31.0                     62.6446441269636          |  0.0                      0.0                      0.0                      0.0                      0.0                      
	6    32.0                     58.599999999999994       1878.957915831663        3820.941883767535        63.0                     60.64987117091325         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	7    64.0                     55.599999999999994       3565.5310621242484       7386.472945891783        127.0                    58.161204298360495        |  0.0                      0.0                      0.0                      0.0                      0.0                      
	8    128.0                    52.099999999999994       6682.1643286573135       14068.637274549097       255.0                    55.17112656685921         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	9    256.0                    48.099999999999994       12338.27655310621        26406.913827655306       511.0                    51.67693508347418         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	10   512.0                    43.599999999999994       22367.935871743484       48774.849699398794       1023.0                   47.678249950536454        |  0.0                      0.0                      0.0                      0.0                      0.0                      

