1.	
	STEP COUNT(S)                 PRICE(S)                 COST(S)                  COST                     COUNT                    EVERAGE COST              |  MINIMAL PRICE            SALE PRICE               SALE COUNT               SALE COST                SALE EARNINGS            
	1    1.0                      70.0                     70.14028056112224        70.14028056112224        1.0                      70.14028056112224         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	2    2.0                      69.5                     139.27855711422845       209.4188376753507        3.0                      69.8062792251169          |  0.0                      0.0                      0.0                      0.0                      0.0                      
	3    4.0                      68.5                     274.5490981963928        483.96793587174346       7.0                      69.13827655310621         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	4    8.0                      67.0                     537.0741482965932        1021.0420841683367       15.0                     68.06947227788912         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	5    16.0                     65.0                     1042.0841683366734       2063.12625250501         31.0                     66.55245975822614         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	6    32.0                     62.5                     2004.0080160320642       4067.134268537074        63.0                     64.55768680217578         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	7    64.0                     59.5                     3815.6312625250503       7882.765531062125        127.0                    62.06901992962303         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	8    128.0                    56.0                     7182.364729458918        15065.130260521042       255.0                    59.07894219812174         |  0.0                      0.0                      0.0                      0.0                      0.0                      
	9    256.0                    52.0                     13338.677354709418       28403.80761523046        511.0                    55.584750714736714        |  0.0                      0.0                      0.0                      0.0                      0.0                      
	10   512.0                    47.5                     24368.7374749499         52772.545090180356       1023.0                   51.58606558179898         |  0.0                      0.0                      0.0                      0.0                      0.0                      

